Water Company Name,Site Name,Permit No.,Activity Reference (if more than one discharge) on permit,Shellfishery                                          (Only populate for storm overflows that have Shellfish water EDM requirements),Bathing Beach                                           (Only populate for storm overflows that have bathing water EDM requirements),Total Duration (hours) of all spills prior to processing through 12-24 hour counting method,Counted spills using 12-24hr counting method,% of reporting period EDM operational,Comments,
Thames Water,ABBESS RODING STW,CTCR.2034,,,,2062.64,140,99%,,
Thames Water,ABBEY MILLS SPS,CSAB.0530,,,,23.38,3,100%,,
Thames Water,ABINGDON STW,CTCR.1804,,,,1955.45,135,100%,,
Thames Water,ACTON STORM TANKS TQ21793507 CSO,TEMP.0312,,,,38.83,20,100%,,
Thames Water,ALBERT ROAD TQ4279991B CSO,TEMP.2679,,,,35.22,39,100%,,68
Thames Water,ALDERMASTON STW,TEMP.2345,,,,1157.19,141,100%,,
Thames Water,ALDERSHOT STW,CTCR.1974,,,,112.67,13,100%,,
Thames Water,ALLENDALE ROAD TQ16844901 CSO,TEMP.2367,,,,0,0,100%,,
Thames Water,AMERSHAM VALE STK,TEMP.2368,,,,,,0%,Unable to capture accurate spills from site due to complex on-site issues,
Thames Water,AMPNEY ST PETER STW,CSSC.2452,,,,2316.11,108,98%,,
Thames Water,AMYAND PARK ROAD TQ16735902 CSO,TEMP.2369,,,,0,0,81%,Multiple periods of missing data due to comms issues ,
Thames Water,ANDOVERSFORD,CTCR.2090,,,,821.95,50,100%,,
Thames Water,APPLETON STW,TEMP.2351,,,,2301.68,128,100%,,
Thames Water,ARBORFIELD STW,CNTD.0020,Spill to the Environment,,,187.87,54,100%,,
Thames Water,ARBORFIELD STW_STK 1,CNTD.0020,Spill to the storm storage,,,473.58,54,100%,,
Thames Water,ASCOT STW,CTCR.2048,,,,4.27,10,100%,,
Thames Water,ASHRIDGE (WOKINGHAM) STW,TEMP.3020,,,,287.72,47,98%,,
Thames Water,ASHVALE STW,TEMP.2354,,,,213.74,24,100%,,
Thames Water,ASTON LE WALLS STW,CNTD.0040,,,,45.56,10,100%,,
Thames Water,AUCKLAND ROAD SPS,CSBC.0085,,,,372.71,28,100%,,
Thames Water,AV_WATERY LANE MARSWORTH SPS,CNTM.0145,,,,0,0,100%,,
Thames Water,AVON DASSETT STW,TEMP.2362,,,,148.31,31,100%,,
Thames Water,AVONDALE ROAD SPS,TEMP.0376,,,,8.03,1,100%,,
Thames Water,AYLESBURY,TEMP.2363,,,,151.67,12,100%,,
Thames Water,BAMPTON STW,TEMP.2373,,,,875.48,85,99%,,
Thames Water,BANBURY STW,CTCR.1867,,,,288.39,38,70%,Data missing due to intermittent communication issues,
Thames Water,BARBERS LANE TL09212303 CSO,TEMP.2431,,,,4.39,5,100%,,
Thames Water,BARKWAY STW,CATM.3093,,,,547.84,43,100%,,
Thames Water,BASINGSTOKE STW,CTCR.0875,,,,410.85,40,100%,,
Thames Water,Bath Road TQ10770001 CSO,TEMP.2904,,,,0,0,100%,,
Thames Water,BECKLEY STW,CAWM.1403,,,,79.95,12,99%,,
Thames Water,BECKTON STW,CSSA.0360,,,,952.57,51,100%,,
Thames Water,BEDDINGTON STW,TEMP.2381,,,,181.85,31,100%,,
Thames Water,BEECH HALL CRESCENT_WALTHAMSTOW,CLCR.0032,,,,179.81,48,98%,,
Thames Water,BEENHAM STW,TEMP.2382,,,,172.02,32,100%,,
Thames Water,BELL LANE CREEK TQ2574551C CSO,TEMP.2438,,,,290.36,57,99%,"Data calculated to account for tidal influence
",
Thames Water,BELL WHARF LANE TQ32804711 CSO,CSAB.0543,,,,13.35,29,99%,Data calculated to account for tidal influence,
Thames Water,Bell Wharf Outlet ,CSAB.0526,,,,1.69,2,99%,,
Thames Water,BENSON STW,CATM.3525,,,,992.67,56,100%,,
Thames Water,BENTLEY STW,CASM.0726,,,,1665.8,142,100%,,
Thames Water,BENTSBROOK ROAD TQ16479401 CSO,TEMP.2441,,,,34.06,11,100%,,
Thames Water,BERKHAMSTED STW,CATM.3075,,,,861.46,52,100%,,
